,Training Loss,Validation Loss
Epoch 1,0.0005787190869810527,2.245648152140724e-05
Epoch 2,0.0001486617135545177,1.908038984373857e-06
Epoch 3,0.00023047462527626597,0.0004822474197837813
Epoch 4,0.0003195517801839641,1.3501175199680488e-05
Epoch 5,0.00034271035013328703,0.00044388110309855305
Epoch 6,0.0002785710231953393,9.742390751665065e-06
Epoch 7,0.0002631713034825427,1.7448487502908142e-05
Epoch 8,0.00019442721458994027,3.646810351899054e-05
Epoch 9,0.00018120404220623338,1.734028258177769e-06
Epoch 10,9.441843438426455e-05,4.158281379612413e-06
Epoch 11,5.138336189812031e-05,0.0005992343957869111
Epoch 12,5.364176546509896e-05,2.780286021944754e-07
Epoch 13,1.0761163271759086e-05,2.0147764627546198e-07
Epoch 14,6.0474349599035e-06,1.5830237473359188e-07
Epoch 15,2.550454908240201e-06,1.6495591572838122e-06
