,Training Loss,Validation Loss
Epoch 1,2.454384057314942,0.12436673577342715
Epoch 2,0.5626183047275963,0.13540207701069967
Epoch 3,0.5514209080980309,0.15374836644956044
Epoch 4,0.5407170871667468,0.15679770069462912
Epoch 5,0.5374579291425083,0.15541784039565495
Epoch 6,0.5346369692899424,0.15603394380637578
Epoch 7,0.533920672379042,0.15464608371257782
Epoch 8,0.5336869301361854,0.15615087747573853
Epoch 9,0.5330699552300984,0.15692825615406036
Epoch 10,0.5334316812890183,0.15681339587484086
