,Training Loss,Validation Loss
Epoch 1,0.2627917610340648,0.21901553252647663
Epoch 2,0.19447186530563568,0.2187589250248054
Epoch 3,0.16155647082229455,0.19165148971409635
Epoch 4,0.1635595629695389,0.22179974487115597
Epoch 5,0.16090502942833634,0.18635430803586697
Epoch 6,0.16344190247290663,0.19416763132502293
Epoch 7,0.1674259379307429,0.20348776632855678
Epoch 8,0.16604197834067874,0.20194354601975145
Epoch 9,0.18513881836666002,0.210415233311982
Epoch 10,0.1669511863251527,0.20001662445479426
Epoch 11,0.16905787546800244,0.1930114547240323
Epoch 12,0.16851979928745164,0.19389503050980897
Epoch 13,0.1746401367535194,0.18696547890531606
Epoch 14,0.18732455942597653,0.19568864487368484
Epoch 15,0.17591920609739092,0.22007967660139346
Epoch 16,0.16016276415454017,0.19201209100669828
Epoch 17,0.16554419908093082,0.1853266965983243
Epoch 18,0.1952590826259719,0.46684609815992156
Epoch 19,0.22631289606889088,0.3943889860449166
Epoch 20,0.18316259340908791,0.20728536515400328
Epoch 21,0.17466395859718323,0.2071542228604185
Epoch 22,0.1893550214442942,0.20605645200301861
Epoch 23,0.1757892570150809,0.18025484591208654
Epoch 24,0.16358091387235457,0.197546128055145
Epoch 25,0.16195521976401409,0.18945526794112963
Epoch 26,0.15711510792738861,0.18219368609374967
Epoch 27,0.159032787975255,0.1924128328160993
Epoch 28,0.1609495415021976,0.19322785195605507
Epoch 29,0.16480636960566045,0.18719613731935106
Epoch 30,0.18775211363269223,0.2012789332918052
