,Training Loss,Validation Loss
Epoch 1,0.11349648508694436,0.12821260428634182
Epoch 2,0.10769480156832272,0.12796273185261364
Epoch 3,0.104361960215701,0.12082944900311272
Epoch 4,0.10201680503620042,0.11922351964588823
Epoch 5,0.0999966965827677,0.12125400646493353
Epoch 6,0.09838782399164306,0.11996039812420976
Epoch 7,0.09680957161552377,0.11879379906017205
Epoch 8,0.09512394842306773,0.11908802814010916
Epoch 9,0.09336646984616916,0.11742768989040933
Epoch 10,0.09142085776825747,0.1163875070111505
Epoch 11,0.08888906491994858,0.1228436799398784
Epoch 12,0.08563681855036152,0.12967086377842674
Epoch 13,0.08205338038272328,0.12600316813793674
Epoch 14,0.07755273202293449,0.1432789260971135
Epoch 15,0.07250562547412183,0.1459260437766026
