,Training Loss,Validation Loss
Epoch 1,0.12878234245777131,0.15701181184628915
Epoch 2,0.12243888085782528,0.15763655998583498
Epoch 3,0.11987044569849968,0.15315709693421578
Epoch 4,0.11769361772537232,0.15693913213908672
Epoch 5,0.11653124985545874,0.15687519787200566
Epoch 6,0.11385691621825099,0.16197068334139628
Epoch 7,0.11313859781995415,0.1570977853803799
Epoch 8,0.11090913918465375,0.15004958071071525
Epoch 9,0.10846004415005446,0.14760037781349544
Epoch 10,0.1078559280321002,0.15508058564416294
Epoch 11,0.10529541129916907,0.15062974855817599
Epoch 12,0.104795288233459,0.15048759083809524
Epoch 13,0.10091260211877524,0.15113802170702095
Epoch 14,0.09893547802045942,0.14446677614388795
Epoch 15,0.09688822892941534,0.1574450839182426
Epoch 16,0.0939819566436112,0.15449167248503914
Epoch 17,0.0896244486860931,0.15504395242395072
Epoch 18,0.08638904982563109,0.16075041504769488
Epoch 19,0.08351034054439514,0.17055257820877537
Epoch 20,0.0779142238765955,0.17992666029724583
Epoch 21,0.07203214057013392,0.16377505505907125
Epoch 22,0.068962891513668,0.1797781321380673
Epoch 23,0.06430289044063538,0.18506466340402078
Epoch 24,0.06101429044147953,0.1919753230337439
Epoch 25,0.056384276019781826,0.19872786239560308
Epoch 26,0.05251725685494021,0.20397578674400674
Epoch 27,0.04979221383444965,0.20455606757053013
Epoch 28,0.04625776613294147,0.21520281968445615
Epoch 29,0.04395205603055656,0.22750232998153258
Epoch 30,0.040776695548184215,0.20032090796478863
Epoch 31,0.03918542684705462,0.23384254387226597
Epoch 32,0.03599861068902537,0.2377724975732894
Epoch 33,0.0338990622541518,0.26151911439052944
Epoch 34,0.03521769803118077,0.23009021079231953
Epoch 35,0.030569744482799432,0.2803639041837947
Epoch 36,0.03123926685489714,0.22446785456147686
Epoch 37,0.029980910752224737,0.2855509839438159
Epoch 38,0.028445620281246375,0.286658373757683
Epoch 39,0.026455924931120534,0.2885743522181593
Epoch 40,0.02496760656485858,0.27637670034992284
Epoch 41,0.024704625781206413,0.2606137212494324
Epoch 42,0.024102327876586425,0.3012492823703536
Epoch 43,0.02374153759754263,0.2935384977608919
Epoch 44,0.024021951451546193,0.28901472019738167
Epoch 45,0.023182505243155176,0.30340861953024206
Epoch 46,0.021997003120253794,0.31644354914796763
Epoch 47,0.022376358197419906,0.30246797062713526
Epoch 48,0.020466783723980187,0.27935270220041275
Epoch 49,0.021429953125480097,0.3297116431439745
Epoch 50,0.020685158505674917,0.28599160601352824
