,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.6561098514076316,0.7276190507593263,0.6087533373026006,0.5993365404720877,0.6924712414307823,0.6568580042744857
Epoch 2,0.7178539275184928,0.7736465618931101,0.6333550231037237,0.6351589188600505,0.7399155553470084,0.699985997344477
Epoch 3,0.7500342234449247,0.7858205238258664,0.6418806902128839,0.6432945147970661,0.7596373178103176,0.7161334540182117
Epoch 4,0.7701241267996165,0.7945349766973671,0.6519841268381651,0.6549018468827552,0.772977139543059,0.7289044433521925
Epoch 5,0.7857661833810832,0.8006852610832507,0.6561940514399249,0.6623898167951984,0.7826921099424589,0.7375454845283832
Epoch 6,0.7964411285331444,0.8045024553785609,0.6658131145548436,0.6689201704772377,0.7903263321906893,0.7452006402268951
Epoch 7,0.8033021684188728,0.809554732593774,0.6703687464951986,0.6740539604930494,0.7975346489828533,0.7509628513967497
Epoch 8,0.810144202653948,0.8129834727705706,0.6759967774871427,0.6781417598213293,0.8024361273920839,0.7559404680250148
Epoch 9,0.8182589872709705,0.8163663256534118,0.6800695744490581,0.680379726823121,0.8067721994402999,0.7603693627273722
Epoch 10,0.8221106592379719,0.8195625686213237,0.6859401530011309,0.6834494540788992,0.8107184026622972,0.7643562475203246
Epoch 11,0.826905599467512,0.8204042422419944,0.6879431147203202,0.6875050021164162,0.8135597251679876,0.7672635367428461
Epoch 12,0.8295368070978062,0.8247707016364036,0.6928851176295259,0.6904872259231883,0.8176204494923935,0.7710600603558635
Epoch 13,0.831338049633444,0.82603604047828,0.6976401065688104,0.6942078004805409,0.8199711891149348,0.7738386372552022
Epoch 14,0.8347826256860202,0.8283847782920599,0.7026438513746646,0.6945855482685168,0.8222012525552584,0.776519611235304
Epoch 15,0.8380830632863935,0.8315013225177513,0.7033746552261699,0.69709405598699,0.8246011673975202,0.778930852882965
