,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.7332151970547522,0.7686053002796276,0.6096492996738263,0.6206730636447351,0.781475320317898,0.7027236361941679
Epoch 2,0.7928182605223535,0.7989095877808894,0.6439651506472819,0.6497691729892554,0.8184344543731346,0.7407793252625829
Epoch 3,0.8143828820268131,0.8166905877278153,0.6556371337180978,0.6650673775302456,0.8424814753862512,0.7588518912778446
Epoch 4,0.8299122740378291,0.8264549791293978,0.6741661531738755,0.6760081417573058,0.8545880661375103,0.7722259228471837
Epoch 5,0.8407232738030688,0.8356291880393915,0.6843559200773416,0.6854035661113136,0.8653388031450155,0.7822901502352263
Epoch 6,0.8497693122104566,0.8428799583940824,0.6988861825037473,0.69531321505406,0.8712727082530126,0.7916242752830718
Epoch 7,0.8583458569328677,0.8497724149539869,0.7059214776279013,0.7036302305077164,0.8785411375770452,0.7992422235199035
Epoch 8,0.867211334993043,0.8560892674840075,0.7173586063722864,0.7091866992584207,0.8863939667523186,0.8072479749720152
Epoch 9,0.8749209316761405,0.8652652494325757,0.7286733080978968,0.7172826194211085,0.8921733527851009,0.8156630922825645
Epoch 10,0.8875797111156454,0.8707098944658301,0.7411699323784241,0.7262524589493538,0.8996406966263484,0.8250705387071203
Epoch 11,0.900038260689578,0.8800800443012484,0.754083162270737,0.7367185701955168,0.9080474792903095,0.835793503349478
Epoch 12,0.9138322158056481,0.891498009461756,0.7778472960127557,0.7501509138047413,0.9169558543141736,0.8500568578798149
Epoch 13,0.9279129219970689,0.9015276255800424,0.8002941802269503,0.7634651811789068,0.9276520256155183,0.8641703869196974
Epoch 14,0.9445822197888938,0.915125594351669,0.8269949979222823,0.7794877206499676,0.937527414397517,0.880743589422066
Epoch 15,0.9548928893574206,0.9290460714252264,0.8584249559587885,0.799749851390026,0.9477282011625375,0.8979683938587998
