,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.49212836192215215,0.5002928921836446,0.49341888293161723,0.5010282600570468,0.49820221064066106,0.49701412154702435
Epoch 2,0.4956924988342727,0.4962471342597362,0.49748249511353987,0.4989432429327445,0.5016437825020531,0.4980018307284693
Epoch 3,0.5016481396699619,0.49942818790514515,0.5048711133639145,0.504307618133186,0.5013370240972485,0.5023184166338912
Epoch 4,0.5015690421894617,0.506289570110342,0.5083600035868245,0.5036998206855874,0.4986309982555726,0.5037098869655577
Epoch 5,0.5000155741317547,0.499511791291896,0.5048828327965951,0.5031372377573534,0.4983795271721238,0.5011853926299445
Epoch 6,0.49864551704359056,0.5038305958554345,0.5008661841272297,0.5011712694874633,0.5039497521814491,0.5016926637390334
Epoch 7,0.5006573073072607,0.49653453301572137,0.4968240459981482,0.497732834112708,0.5006755692734222,0.49848485794145214
Epoch 8,0.49125383315626436,0.49983314965538267,0.5094375051387404,0.5013257293002624,0.49936320895267416,0.5002426852406648
Epoch 9,0.49481652345044386,0.49981228425645813,0.5047042758634032,0.4980246002697177,0.5007519745775655,0.49962193168351765
Epoch 10,0.5000350956240924,0.49982985073694924,0.5055349381410027,0.4969900083624388,0.5014129053713092,0.5007605596471584
Epoch 11,0.4979804047279045,0.5008062889665228,0.4973615141314218,0.5032429290603742,0.5007471638095959,0.5000276601391638
Epoch 12,0.4950613495193299,0.5004747112405702,0.498261945635296,0.5051732051473423,0.5028404921755822,0.5003623407436242
Epoch 13,0.49609559387717006,0.49865098171441774,0.49922799615854235,0.49922573604842313,0.4952293418085091,0.4976859299214125
Epoch 14,0.49398045453641803,0.49582184175390076,0.5007278221112829,0.5018388596922286,0.5005824035972999,0.498590276338226
Epoch 15,0.5033988568874372,0.5021406546427855,0.5024127407561166,0.49972525959388603,0.4959120413273146,0.5007179106415081
Epoch 16,0.5001208789465801,0.5009997491989455,0.49688440373160464,0.5032010081838181,0.504231749091029,0.5010875578303955
Epoch 17,0.5045609957281664,0.49756989388305595,0.4932913702754469,0.4969670977732359,0.5057771825292391,0.4996333080378288
Epoch 18,0.5080978666956235,0.5020867063993815,0.494433461464708,0.496149950150188,0.5001807216531662,0.5001897412726134
Epoch 19,0.49898010968064344,0.49669116399787283,0.4901568856638259,0.494052304939009,0.506723340319628,0.49732076092019584
Epoch 20,0.4969644617691309,0.49783359922407777,0.5050376976037686,0.49990622574016236,0.492345363726746,0.4984174696127771
Epoch 21,0.49739746928253703,0.5005113427638692,0.5030993875863194,0.49982932004021385,0.49744573992794217,0.4996566519201764
Epoch 22,0.49982547283458745,0.49840978602819586,0.509148526558906,0.49572023906050366,0.4962532879988323,0.49987146249620507
Epoch 23,0.5016365577551605,0.500901749467438,0.5007171361454786,0.49929633445923444,0.5000047334520556,0.5005113022558734
Epoch 24,0.5027042649652155,0.49967545719159023,0.5099981752161147,0.49700968671156964,0.5019604137195165,0.5022695995608013
Epoch 25,0.5055354196306261,0.4985104914972198,0.5026712953782642,0.5021049054707936,0.502675706191315,0.5022995636336438
Epoch 26,0.5017538481921197,0.5003220660179141,0.5012579701945865,0.4971892774365389,0.493615784459589,0.4988277892601496
Epoch 27,0.49799253389042314,0.49814715257549785,0.5013323144520924,0.5030498002599669,0.5059813652669133,0.5013006332889788
Epoch 28,0.49884180851985394,0.49770130947289115,0.5025040453079721,0.5002405808355058,0.498387628161758,0.4995350744595962
Epoch 29,0.5047169702988389,0.49712669407786914,0.4987926492581064,0.5007534459676485,0.49780106668642743,0.499838165257778
Epoch 30,0.5033653581501262,0.5027240740914185,0.5012705842092666,0.5031043553636734,0.5041266338108968,0.5029182011250763
