,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.5476968222649972,0.6695611756709974,0.5500841033319657,0.556668394400759,0.6350962118548691,0.5918213415047177
Epoch 2,0.5264382677630478,0.6182508444117857,0.5311599412675647,0.5687186607478318,0.6351005675092626,0.5759336563398986
Epoch 3,0.5417957568840835,0.6421314594495403,0.5271071842614592,0.5699571829075893,0.6358392084826826,0.583366158397071
Epoch 4,0.5592184688733185,0.6348332568396192,0.5305317947784857,0.5562986277031274,0.6251098014965769,0.5811983899382256
Epoch 5,0.5663748078372488,0.6673379571105708,0.5496397346578543,0.5848786776627387,0.6678464205795612,0.6072155195695947
Epoch 6,0.5626464026241704,0.6917567817184671,0.5576050909322201,0.5810709225709967,0.6717332462029095,0.6129624888097528
Epoch 7,0.5575293868590814,0.6581944573281281,0.5386430437012347,0.5607021770091476,0.6529703872709836,0.593607890433715
Epoch 8,0.5963940247742029,0.6852902840453109,0.5637952317173224,0.587394582420397,0.6642874608814562,0.6194323167677378
Epoch 9,0.6190338214384138,0.7254451893739824,0.5769814420032842,0.5992438064880539,0.6862293190929005,0.6413867156793269
Epoch 10,0.6457303358194368,0.7466576187840268,0.5836235980098817,0.6012407244158454,0.6954543567292217,0.6545413267516824
Epoch 11,0.6656316505784274,0.749169583431603,0.6135655659287922,0.6067022701359409,0.7086612642683437,0.6687460668686216
Epoch 12,0.6589354168139241,0.7449024316108808,0.60921902509649,0.6135237336792949,0.709488795263267,0.6672138804927714
Epoch 13,0.6024315597928062,0.7121669365672088,0.6052967807514158,0.5869913868579331,0.6886021105810937,0.6390977549100915
Epoch 14,0.6270469673516798,0.7422392984081426,0.6095735468388391,0.6094836306946898,0.7017197597100322,0.6580126406006768
Epoch 15,0.641550693947887,0.7575343276909872,0.6100323396818793,0.6172748275858153,0.7129445411211913,0.667867346005552
Epoch 16,0.6649757315244686,0.7629784166468107,0.6211895212409789,0.6187760650710384,0.7233033924350127,0.6782446253836619
Epoch 17,0.6718295694098342,0.7692924068721871,0.6254622902695426,0.622923491006475,0.7297631746193549,0.6838541864354788
Epoch 18,0.6746918579116784,0.7681360583688469,0.6332910514020031,0.6263006951574412,0.7383100520355512,0.6881459429751041
Epoch 19,0.704070730893964,0.776711514011688,0.636920033276384,0.6248448113093652,0.7486465399895013,0.6982387258961804
Epoch 20,0.6976058733920032,0.7668302843969598,0.6175821756199917,0.6242542264676715,0.736657698785999,0.688586051732525
